school,total_outcomes,accepted,rejected,waitlisted,deferred,reported_accept_pct,avg_acc_gpa,avg_acc_sat,avg_rej_gpa,avg_rej_sat,official_accept_rate,official_sat_25th,official_sat_75th
Harvard University,120,18,80,18,4,15.0,3.98,1501,3.93,1520,3.45,1500,1580
University of California-Los Angeles,114,34,49,31,0,29.8,3.97,1514,3.78,1489,8.73,,
Stanford University,107,27,72,7,1,25.2,3.99,1550,3.91,1529,3.91,1510,1580
Cornell University,105,25,46,32,2,23.8,3.96,1508,3.84,1495,8.16,1480,1560
Yale University,100,25,65,7,3,25.0,3.98,1526,3.93,1525,4.50,1500,1580
Columbia University in the City of New York,99,14,55,27,3,14.1,3.99,1523,3.89,1532,4.23,1490,1570
University of Pennsylvania,97,20,60,17,0,20.6,3.94,1514,3.90,1521,5.87,1500,1570
Princeton University,95,12,66,14,3,12.6,4.00,1480,3.94,1524,4.50,1500,1580
Massachusetts Institute of Technology,92,12,73,3,4,13.0,3.99,1523,3.96,1539,4.74,1510,1580
Brown University,91,19,57,15,0,20.9,3.92,1512,3.90,1531,5.23,1500,1570
University of California-Berkeley,91,42,40,8,1,46.2,3.94,1506,3.88,1443,11.66,,
University of California-San Diego,91,46,18,27,0,50.5,3.84,1519,3.74,1494,24.52,,
New York University,88,27,33,28,0,30.7,3.91,1527,3.73,1446,9.41,1480,1570
Johns Hopkins University,87,23,42,18,4,26.4,3.90,1517,3.93,1526,7.56,1530,1580
Northwestern University,87,18,50,17,2,20.7,3.83,1464,3.86,1498,7.15,1490,1560
Georgia Institute of Technology-Main Campus,85,33,36,12,4,38.8,3.98,1511,3.82,1456,16.46,1330,1530
University of Illinois Urbana-Champaign,83,37,30,16,0,44.6,3.91,1506,3.74,1484,43.69,1270,1510
Northeastern University,82,41,18,23,0,50.0,3.86,1485,3.86,1448,5.65,1460,1550
Carnegie Mellon University,80,28,25,25,2,35.0,3.93,1562,3.88,1513,11.40,1500,1570
University of Southern California,75,31,40,2,2,41.3,3.96,1517,3.79,1447,10.02,1440,1550
Vanderbilt University,72,7,39,23,3,9.7,3.91,1495,3.85,1511,6.28,1510,1560
University of California-Irvine,71,42,14,15,0,59.2,3.81,1499,3.71,1495,25.57,,
University of California-Davis,62,45,10,7,0,72.6,3.83,1487,3.73,1484,41.63,,
University of Michigan-Ann Arbor,60,20,14,17,9,33.3,3.87,1508,3.74,1514,17.94,1350,1530
Rice University,58,14,28,13,3,24.1,3.96,1538,3.91,1524,7.88,1500,1570
University of Chicago,57,8,25,21,3,14.0,3.98,1570,3.88,1541,4.79,1510,1570
The University of Texas at Austin,53,20,30,2,1,37.7,3.85,1473,3.89,1505,29.12,1230,1490
University of California-Santa Barbara,53,38,5,10,0,71.7,3.81,1523,3.72,1510,27.78,,
